reference,verse,answer,difficulty
Luke 8:39,"Go back to your ____ and tell what God has done for you.",home,easy
Deuteronomy 4:1,"Now, O Israel, ______ to the statutes and the judgments which I teach you to observe, that you may live, and go in and possess the land which the Lord God of your fathers is giving you.",listen,easy
Psalms 100:3,"Know that the Lord, He is God; It is He who has made us, and not we ourselves; We are His ______ and the sheep of His pasture",people,easy
Galatians 2:20,"I have been __________ with Christ; it is no longer I who live, but Christ lives in me",crucified,easy
John 14:16,"And I will pray the Father, and He will give you another Helper, that He may _____ with you forever",abide,easy
Matthew 24:35,"Heaven and earth will pass away, but My _____ will by no means pass away.",words,easy
Proverbs 3:5,"Trust in the LORD with all your _____, and do not lean on your own understanding.",heart,medium
John 10:11,"I am the good ________. The good shepherd lays down his life for the sheep.",shepherd,medium
John 3:16,"For God so loved the world that He gave His only begotten Son, that whoever believes in Him should not perish but have everlasting ____.",life,medium
Psalm 23:1,"The LORD is my shepherd; I shall not ____.",want,medium
Philippians 4:13,"I can do all things through Christ who strengthens __.",me,medium
Matthew 5:9,"Blessed are the peacemakers, for they shall be called sons of ___.",God,medium
Deuteronomy 4:39,"Therefore know this day, and consider it in your heart, that the LORD Himself is God in heaven above and on the earth beneath; there is no _____.",other,medium
Hebrews 11:1,"Now faith is the substance of things hoped for, the evidence of things not ____.",seen,medium
1 Peter 5:7,"Cast all your _______ upon Him, for He cares for you.",anxiety,medium
1 John 1:9,"If we confess our sins, He is ________ and just to forgive us our sins and to cleanse us from all unrighteousness.",faithful,medium
Leviticus 19:11,"You shall not steal, nor deal falsely, nor ___ to one another.",lie,medium
1 John 3:18,"My little children, let us not love in word or in tongue, but in ____ and in truth.",deed,medium
Colossians 3:12,"Therefore, as the elect of God, holy and beloved, ______ yourselves with tender mercies, kindness, humility, meekness, longsuffering",clothe,medium
Psalm 20:7,"Some trust in chariots, and some in horses; but we will ________ the name of the LORD our God.",remember,medium
